date,rate
1/7/99,1.000348493
2/7/99,1.000348493
3/7/99,1.000348493
4/7/99,1.000348493
5/7/99,1.000348493
6/7/99,1.000348493
7/7/99,1.000348493
8/7/99,1.000348493
9/7/99,1.000348493
10/7/99,1.000348493
11/7/99,1.000348493
12/7/99,1.000348493
13/7/99,1.000348493
14/7/99,1.000348493
15/7/99,1.000348493
16/7/99,1.000348493
17/7/99,1.000348493
18/7/99,1.000348493
19/7/99,1.000348493
20/7/99,1.000348493
21/7/99,1.000348493
22/7/99,1.000348493
23/7/99,1.000348493
24/7/99,1.000348493
25/7/99,1.000348493
26/7/99,1.000348493
27/7/99,1.000348493
28/7/99,1.000348493
29/7/99,1.000348493
30/7/99,1.000348493
31/7/99,1.000348493
1/8/99,1.000348493
2/8/99,1.000348493
3/8/99,1.000348493
4/8/99,1.000348493
5/8/99,1.000348493
6/8/99,1.000348493
7/8/99,1.000348493
8/8/99,1.000348493
9/8/99,1.000348493
10/8/99,1.000348493
11/8/99,1.000348493
12/8/99,1.000348493
13/8/99,1.000348493
14/8/99,1.000348493
15/8/99,1.000348493
16/8/99,1.000348493
17/8/99,1.000348493
18/8/99,1.000348493
19/8/99,1.000348493
20/8/99,1.000348493
21/8/99,1.000348493
22/8/99,1.000348493
23/8/99,1.000348493
24/8/99,1.000348493
25/8/99,1.000348493
26/8/99,1.000348493
27/8/99,1.000348493
28/8/99,1.000348493
29/8/99,1.000348493
30/8/99,1.000348493
31/8/99,1.000348493
1/9/99,1.000348493
2/9/99,1.000348493
3/9/99,1.000348493
4/9/99,1.000348493
5/9/99,1.000348493
6/9/99,1.000348493
7/9/99,1.000348493
8/9/99,1.000348493
9/9/99,1.000348493
10/9/99,1.000348493
11/9/99,1.000348493
12/9/99,1.000348493
13/9/99,1.000348493
14/9/99,1.000348493
15/9/99,1.000348493
16/9/99,1.000348493
17/9/99,1.000348493
18/9/99,1.000348493
19/9/99,1.000348493
20/9/99,1.000348493
21/9/99,1.000348493
22/9/99,1.000348493
23/9/99,1.000348493
24/9/99,1.000348493
25/9/99,1.000348493
26/9/99,1.000348493
27/9/99,1.000348493
28/9/99,1.000348493
29/9/99,1.000348493
30/9/99,1.000348493
1/10/99,1.000348767
2/10/99,1.000348767
3/10/99,1.000348767
4/10/99,1.000348767
5/10/99,1.000348767
6/10/99,1.000348767
7/10/99,1.000348767
8/10/99,1.000348767
9/10/99,1.000348767
10/10/99,1.000348767
11/10/99,1.000348767
12/10/99,1.000348767
13/10/99,1.000348767
14/10/99,1.000348767
15/10/99,1.000348767
16/10/99,1.000348767
17/10/99,1.000348767
18/10/99,1.000348767
19/10/99,1.000348767
20/10/99,1.000348767
21/10/99,1.000348767
22/10/99,1.000348767
23/10/99,1.000348767
24/10/99,1.000348767
25/10/99,1.000348767
26/10/99,1.000348767
27/10/99,1.000348767
28/10/99,1.000348767
29/10/99,1.000348767
30/10/99,1.000348767
31/10/99,1.000348767
1/11/99,1.000348767
2/11/99,1.000348767
3/11/99,1.000348767
4/11/99,1.000348767
5/11/99,1.000348767
6/11/99,1.000348767
7/11/99,1.000348767
8/11/99,1.000348767
9/11/99,1.000348767
10/11/99,1.000348767
11/11/99,1.000348767
12/11/99,1.000348767
13/11/99,1.000348767
14/11/99,1.000348767
15/11/99,1.000348767
16/11/99,1.000348767
17/11/99,1.000348767
18/11/99,1.000348767
19/11/99,1.000348767
20/11/99,1.000348767
21/11/99,1.000348767
22/11/99,1.000348767
23/11/99,1.000348767
24/11/99,1.000348767
25/11/99,1.000348767
26/11/99,1.000348767
27/11/99,1.000348767
28/11/99,1.000348767
29/11/99,1.000348767
30/11/99,1.000348767
1/12/99,1.000348767
2/12/99,1.000348767
3/12/99,1.000348767
4/12/99,1.000348767
5/12/99,1.000348767
6/12/99,1.000348767
7/12/99,1.000348767
8/12/99,1.000348767
9/12/99,1.000348767
10/12/99,1.000348767
11/12/99,1.000348767
12/12/99,1.000348767
13/12/99,1.000348767
14/12/99,1.000348767
15/12/99,1.000348767
16/12/99,1.000348767
17/12/99,1.000348767
18/12/99,1.000348767
19/12/99,1.000348767
20/12/99,1.000348767
21/12/99,1.000348767
22/12/99,1.000348767
23/12/99,1.000348767
24/12/99,1.000348767
25/12/99,1.000348767
26/12/99,1.000348767
27/12/99,1.000348767
28/12/99,1.000348767
29/12/99,1.000348767
30/12/99,1.000348767
31/12/99,1.000348767
1/1/00,1.000357377
2/1/00,1.000357377
3/1/00,1.000357377
4/1/00,1.000357377
5/1/00,1.000357377
6/1/00,1.000357377
7/1/00,1.000357377
8/1/00,1.000357377
9/1/00,1.000357377
10/1/00,1.000357377
11/1/00,1.000357377
12/1/00,1.000357377
13/1/00,1.000357377
14/1/00,1.000357377
15/1/00,1.000357377
16/1/00,1.000357377
17/1/00,1.000357377
18/1/00,1.000357377
19/1/00,1.000357377
20/1/00,1.000357377
21/1/00,1.000357377
22/1/00,1.000357377
23/1/00,1.000357377
24/1/00,1.000357377
25/1/00,1.000357377
26/1/00,1.000357377
27/1/00,1.000357377
28/1/00,1.000357377
29/1/00,1.000357377
30/1/00,1.000357377
31/1/00,1.000357377
1/2/00,1.000357377
2/2/00,1.000357377
3/2/00,1.000357377
4/2/00,1.000357377
5/2/00,1.000357377
6/2/00,1.000357377
7/2/00,1.000357377
8/2/00,1.000357377
9/2/00,1.000357377
10/2/00,1.000357377
11/2/00,1.000357377
12/2/00,1.000357377
13/2/00,1.000357377
14/2/00,1.000357377
15/2/00,1.000357377
16/2/00,1.000357377
17/2/00,1.000357377
18/2/00,1.000357377
19/2/00,1.000357377
20/2/00,1.000357377
21/2/00,1.000357377
22/2/00,1.000357377
23/2/00,1.000357377
24/2/00,1.000357377
25/2/00,1.000357377
26/2/00,1.000357377
27/2/00,1.000357377
28/2/00,1.000357377
29/2/00,1.000357377
1/3/00,1.000357377
2/3/00,1.000357377
3/3/00,1.000357377
4/3/00,1.000357377
5/3/00,1.000357377
6/3/00,1.000357377
7/3/00,1.000357377
8/3/00,1.000357377
9/3/00,1.000357377
10/3/00,1.000357377
11/3/00,1.000357377
12/3/00,1.000357377
13/3/00,1.000357377
14/3/00,1.000357377
15/3/00,1.000357377
16/3/00,1.000357377
17/3/00,1.000357377
18/3/00,1.000357377
19/3/00,1.000357377
20/3/00,1.000357377
21/3/00,1.000357377
22/3/00,1.000357377
23/3/00,1.000357377
24/3/00,1.000357377
25/3/00,1.000357377
26/3/00,1.000357377
27/3/00,1.000357377
28/3/00,1.000357377
29/3/00,1.000357377
30/3/00,1.000357377
31/3/00,1.000357377
